"","population","min_cov","mean_cov","reads"
"142","L_08_02",6,38.1246923707957,6114768
"143","L_08_08",21,93.2249484177294,15400632
"144","L_08_14",20,95.793422328287,16672030
"145","L_09_02",5,23.9204762970144,3970678
"146","L_09_08",28,116.877395778954,20074556
"147","L_09_14",11,75.6977900415144,12464172
"148","L_10_02",5,25.1367489497104,4127990
"149","L_10_08",32,159.538096303478,27389930
"150","L_10_14",25,120.643771596192,20458120
"151","L_11_02",5,25.7799736495389,4192744
"152","L_11_08",28,121.33069828722,21115860
"153","L_11_14",8,46.8784398538295,7254898
"154","L_12_02",5,17.3599075247968,2738732
"155","L_12_08",28,126.23601063962,20741372
"156","L_12_14",36,177.995798841574,31118586
