Cage,Sex,1I,2I,3I,4I,5I,6I,7I,8I,9I,10I,11I,12I,13I
EB5 (?),F,0,0,0,0,0,0,1,1,0,0,0,0,121
EB5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO1 (?),M,0,0,0,0,0,0,0,1,0,0,0,0,110
EBO1 (?),F,0,0,0,0,0,1,0,0,1,0,0,1,122
EBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO2 (?),M,0,1,0,0,0,0,0,0,0,0,0,0,126
EBO2 (?),F,0,0,1,0,0,0,0,0,0,0,0,0,103
EBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO3 (?),M,1,0,0,0,0,0,0,0,1,0,0,0,115
EBO3 (?),F,5,0,0,0,0,0,0,0,0,0,0,0,122
EBO3 (?),UK,1,0,0,0,0,0,0,0,0,0,0,0,0
EBO4 (?) ,M,1,0,0,0,0,0,1,0,1,1,0,0,112
EBO4 (?) ,F,1,0,0,0,0,0,0,0,1,0,0,0,103
EBO4 (?) ,UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO5 (?),M,5,0,0,2,1,0,1,0,0,0,0,0,104
EBO5 (?),F,2,0,0,0,1,0,0,0,0,0,0,0,94
EBO5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO1 (?),M,0,0,0,0,0,0,0,1,0,0,0,0,127
EBO1 (?),F,1,0,2,0,0,0,0,0,0,0,0,0,117
EBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO2 (?),M,1,0,0,0,0,0,0,3,0,1,0,0,107
EBO2 (?),F,2,0,0,0,0,0,0,2,0,0,0,0,119
EBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO3 (?),M,0,0,0,0,0,0,0,0,0,0,0,0,101
EBO3 (?),F,0,0,0,0,0,0,0,0,0,0,0,0,124
EBO3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO4 (?),M,2,0,0,0,0,0,0,0,0,0,0,0,94
EBO4 (?),F,2,1,0,0,2,0,0,0,0,0,0,0,100
EBO4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO5 (?),M,2,1,2,0,0,0,0,0,0,0,0,0,81
EBO5 (?),F,3,0,0,0,0,1,0,1,1,0,0,0,87
EBO5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,1
